City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
78,Maues,BR,72.37,overcast clouds,-3.3836,-57.7186,Hotel Miramar
81,Opunake,NZ,67.84,overcast clouds,-39.4556,173.8583,Walton Cottage
82,Bambanglipuro,ID,76.48,moderate rain,-7.95,110.2833,Puri Brata
85,Gatesville,US,73.35,broken clouds,31.4352,-97.7439,Ramada by Wyndham Gatesville N. Fort Hood
87,Les Trois-Ilets,MQ,74.71,overcast clouds,14.539,-61.0361,La Pagerie - Tropical Garden Hotel
93,Port Alfred,ZA,85.91,overcast clouds,-33.5906,26.891,The Halyards Hotel
94,Kirakira,SB,80.58,overcast clouds,-10.4544,161.9205,SanBiz Lodge
96,Kavieng,PG,81.91,light rain,-2.5744,150.7967,Nusa Island Retreat
99,Itacoatiara,BR,72.57,moderate rain,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
101,Butaritari,KI,81.3,light rain,3.0707,172.7902,Isles Sunset Lodge
102,Puerto Escondido,MX,78.76,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
103,Port Elizabeth,ZA,91.69,clear sky,-33.918,25.5701,39 On Nile Guest House
106,Saint-Pierre,RE,83.91,clear sky,-21.3393,55.4781,Lindsey Hôtel
110,Joshimath,IN,73.69,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
111,Almeirim,BR,73.0,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
112,Katherine,AU,88.12,broken clouds,-14.4667,132.2667,Pine Tree Motel
114,Geraldton,AU,81.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
115,Atuona,PF,79.21,light rain,-9.8,-139.0333,Villa Enata
117,Bubaque,GW,75.9,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
120,Luwuk,ID,80.69,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
124,Whitianga,NZ,66.0,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
129,Busselton,AU,68.56,clear sky,-33.65,115.3333,Observatory Guest House
133,Sciacca,IT,71.02,overcast clouds,37.5082,13.0881,Hotel Aliai
135,Saint-Philippe,RE,83.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
138,Camana,PE,66.79,broken clouds,-16.6228,-72.7111,Hostal Morales
139,Buraydah,SA,90.14,broken clouds,26.326,43.975,Mövenpick Qassim
140,Banjar,ID,80.37,broken clouds,-8.19,114.9675,The Hamsa Resort
143,Marsa Matruh,EG,65.23,clear sky,31.3525,27.2453,Beau Site
147,Isangel,VU,77.45,clear sky,-19.55,169.2667,Tanna Lodge
153,Tezpur,IN,90.19,clear sky,26.6333,92.8,Hotel Kanyapur
154,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
155,Bambous Virieux,MU,81.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
156,Maceio,BR,74.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
157,Pimentel,PE,66.18,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
159,Touros,BR,78.15,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
161,Mazara Del Vallo,IT,71.92,overcast clouds,37.6641,12.588,Vizier Resort & Spa
162,Cabo San Lucas,MX,70.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
163,Alofi,NU,80.96,light rain,-19.0595,-169.9187,Taloa Heights
164,Caravelas,BR,75.24,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
171,Malanje,AO,71.37,light rain,-9.5402,16.341,Hotel Ginga
174,Mitsamiouli,KM,83.79,light rain,-11.3847,43.2844,Foyer ADM
175,Nouadhibou,MR,65.68,broken clouds,20.931,-17.0347,El Medina
177,Kaduna,NG,92.28,scattered clouds,10.5222,7.4383,HAMDALA HOTEL
179,Minna,NG,93.25,scattered clouds,9.6139,6.5569,Royal Park hotel & suites
180,Korla,CN,78.73,overcast clouds,41.7597,86.1469,Gulisitan Hotel
183,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
185,Cockburn Town,TC,76.69,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
186,Port Moresby,PG,79.75,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
187,Wadi Musa,JO,69.71,clear sky,30.3222,35.4793,Petra Palace Hotel
189,Hithadhoo,MV,84.34,scattered clouds,-0.6,73.0833,Scoop Guest House
190,Makakilo City,US,71.92,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
