City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Geraldton,AU,-28.7667,114.6,81.01,22,100,11.5,overcast clouds
115,Atuona,PF,-9.8,-139.0333,79.21,81,33,19.37,light rain
116,Lebu,CL,-37.6167,-73.65,51.13,77,100,8.41,moderate rain
117,Bubaque,GW,11.2833,-15.8333,75.9,68,20,9.28,few clouds
118,Beringovskiy,RU,63.05,179.3167,27.27,93,100,2.95,overcast clouds
119,Neuquen,AR,-38.9516,-68.0591,48.09,61,0,3.44,clear sky
120,Luwuk,ID,-0.9516,122.7875,80.69,86,99,2.59,overcast clouds
121,Longyearbyen,SJ,78.2186,15.6401,30.04,74,20,6.91,few clouds
122,Abeche,TD,13.8292,20.8324,99.86,17,100,11.54,overcast clouds
123,Sobolevo,RU,54.4299,31.8996,40.84,95,100,12.82,overcast clouds
124,Whitianga,NZ,-36.8333,175.7,66.0,92,74,9.15,broken clouds
125,Nadvoitsy,RU,63.8667,34.3167,39.67,81,92,3.96,overcast clouds
126,Esperance,AU,-33.8667,121.9,60.57,68,39,10.09,scattered clouds
127,Goderich,CA,43.7501,-81.7165,42.91,92,100,27.27,overcast clouds
128,Ostrovnoy,RU,68.0531,39.5131,34.03,96,100,16.06,overcast clouds
129,Busselton,AU,-33.65,115.3333,68.56,49,0,10.56,clear sky
130,Cidreira,BR,-30.1811,-50.2056,63.48,88,1,9.44,clear sky
131,Batagay-Alyta,RU,67.8006,130.4114,20.19,92,100,3.6,overcast clouds
132,Ozernovskiy,RU,51.5,156.5167,34.95,93,100,11.52,overcast clouds
133,Sciacca,IT,37.5082,13.0881,71.02,54,96,28.99,overcast clouds
134,Rawson,AR,-43.3002,-65.1023,53.38,44,100,11.77,overcast clouds
135,Saint-Philippe,RE,-21.3585,55.7679,83.79,83,50,9.13,light rain
136,Fairbanks,US,64.8378,-147.7164,27.99,73,0,4.61,clear sky
137,Nunguan,PH,7.1283,124.6891,79.75,85,100,1.21,moderate rain
138,Camana,PE,-16.6228,-72.7111,66.79,86,65,8.19,broken clouds
139,Buraydah,SA,26.326,43.975,90.14,13,53,11.52,broken clouds
140,Banjar,ID,-8.19,114.9675,80.37,87,59,2.1,broken clouds
141,Kaitangata,NZ,-46.2817,169.8464,52.38,96,100,1.77,overcast clouds
142,Hastings,GB,50.8552,0.5729,62.28,76,79,15.41,broken clouds
143,Marsa Matruh,EG,31.3525,27.2453,65.23,46,2,7.85,clear sky
144,Mayo,US,38.8876,-76.5119,50.99,75,0,10.36,clear sky
145,Krasnoselkup,RU,65.7,82.4667,16.21,74,100,9.33,overcast clouds
146,Qasigiannguit,GL,68.8193,-51.1922,30.45,89,100,8.14,overcast clouds
147,Isangel,VU,-19.55,169.2667,77.45,83,5,8.14,clear sky
148,Fuxin,CN,42.0156,121.6589,62.15,65,67,4.79,broken clouds
